nome_usina,fonte,capacidade_kw,latitude,longitude,data,curtailment_mw,codigo_ibge,nome_municipio,estado
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 06:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 06:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 07:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 07:30:00,6.081,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 08:00:00,6.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 08:30:00,3.333,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 09:00:00,1.4,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 09:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 10:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 10:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 11:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 11:30:00,0.533,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 12:00:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 12:30:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 13:00:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 13:30:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 14:00:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 14:30:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 15:00:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 15:30:00,0.1,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 16:00:00,1.967,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 16:30:00,6.517,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 17:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-05 17:30:00,,2305308,Ibiapina,CE
